Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light_1,nr4a2a KO,-228.125829129104,-384.050196753106,-72.2014615051027,0.0030790699599336038,51.54749912179557,564.6745610397035,838.3635514018691,666.5
Light_1,nr4a2b KO,-111.416653258246,-265.891246238926,43.0579397224335,0.21515202070544556,65.34495464624888,715.8181135780504,955.0727272727273,782.95
Dark_1,nr4a2a KO,-355.710720035778,-496.076516260828,-215.344923810728,1.321190770120495e-7,54.66253878452879,598.7981108557489,1506.7278846153847,1629.7999999999997
Dark_1,nr4a2b KO,-432.544010056568,-569.894411249063,-295.193608864073,6.336442481824633e-11,60.9727806240377,667.9233468319874,1429.8945945945945,1601.1
Light_2,nr4a2a KO,-388.275326565792,-537.94205378733,-238.608599344254,7.695144987884817e-8,36.99318409090828,405.2400280106341,794.7330434782609,723.9
Light_2,nr4a2b KO,-53.5405734338835,-201.939128747951,94.8579818801835,0.6512054149175821,64.65050663666914,708.2108167808227,1129.4677966101694,1063.0500000000002
Dark_2,nr4a2a KO,-583.875236344538,-729.305196657986,-438.44527603109,3.9968028886505635e-15,56.121509771794805,614.7803372651724,1206.4394957983193,1374.1
Dark_2,nr4a2b KO,-252.094219322344,-398.333676013723,-105.854762630966,4.049841766313733e-4,66.919131711283,733.0623593385798,1538.2205128205128,1719.6999999999998
Light_3,nr4a2a KO,-390.768509174312,-557.952951956767,-223.584066391857,1.1014985421553547e-6,49.032112700329805,537.1198833621236,728.5925,641.1999999999999
Light_3,nr4a2b KO,144.840971023708,-32.1955185983517,321.877460645767,0.1530311679208259,67.86751578111821,743.4513863031258,1264.2019801980198,1172.6999999999998
Dark_3,nr4a2a KO,-494.971347495974,-631.768409899222,-358.174285092725,7.327471962526033e-14,52.03269612423356,569.989627901087,1232.571186440678,1379.6
Dark_3,nr4a2b KO,-271.670461864579,-411.251196064722,-132.089727664437,5.862870146224251e-5,67.17634529301232,735.8799929547766,1455.8720720720721,1692.8
Light_1,WT,NA,NA,NA,1,34.94083969779895,541.3011610083133,1066.4893805309734,1025.55
Dark_1,WT,NA,NA,NA,1,25.01214962934283,387.4865558691712,1862.4386046511627,1904.1999999999998
Light_2,WT,NA,NA,NA,1,38.22619305446057,592.1976363553417,1183.008370044053,1134.1
Dark_2,WT,NA,NA,NA,1,28.58077740538406,442.7714996508548,1790.314732142857,1827.25
Light_3,WT,NA,NA,NA,1,43.68715886201643,676.7985548628296,1119.361009174312,1008.8000000000001
Dark_3,WT,NA,NA,NA,1,24.398628772705166,377.9819316279369,1727.5425339366516,1747.8
