Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light_1,KO A,6.09909850301877,2.49790057817077,9.70029642786677,5.995677892908065e-4,1.2524824054584844,13.72025732695887,21.866355140186915,21.1
Light_1,KO B,4.20456154465004,0.636847324219671,7.77227576508041,0.02057274119359871,1.5068747311503643,16.506985631711743,19.971818181818183,18.05
Dark_1,KO A,4.42069320214669,1.9782648499503,6.86312155434309,2.491530176507162e-4,0.902798524141976,9.889662331098652,12.335576923076923,8.95
Dark_1,KO B,5.18871988267337,2.79876076813068,7.57867899721607,1.036383115360362e-5,1.247512633037345,13.665816197744368,13.103603603603604,7.7
Light_2,KO A,4.81895422332886,1.67686828983449,7.96104015682323,0.001803823730089397,1.1229578577883834,12.30138699676752,18.999130434782607,17.3
Light_2,KO B,0.444400059732695,-2.67106201964466,3.55986213911005,0.9980500703424995,1.3993078958979446,15.3286499895679,14.62457627118644,8
Dark_2,KO A,8.43931197478991,5.81139049935335,11.0672334502265,7.249534306197347e-11,1.1454416375907264,12.547684464281966,16.821008403361343,11.6
Dark_2,KO B,4.0482181013431,1.4056690147096,6.6907671879766,0.001803823730089397,1.3009817606735559,14.25154114447388,12.42991452991453,6.7
Light_3,KO A,10.0825611620795,6.76489589022451,13.4002264339345,4.4464298909474564e-10,1.4137031926304078,15.48634256441491,24.95916666666667,21.049999999999997
Light_3,KO B,-0.0845262966663629,-3.59769895612545,3.42864636279273,0.9980500703424995,1.2349451291240412,13.528146090047349,14.792079207920793,10.1
Dark_3,KO A,8.30832119027533,5.48795007406341,11.1286923064872,1.0615504031363798e-9,1.2587248456268774,13.788639832840975,16.44406779661017,11.350000000000001
Dark_3,KO B,6.11200114141291,3.2342385330516,8.98976374977421,1.3589865313345938e-5,1.473466252838116,16.141014088040933,14.247747747747749,7.3
Light_1,WT,NA,NA,NA,1,0.7856657674429758,12.171481731967658,15.767256637168142,11.2
Dark_1,WT,NA,NA,NA,1,0.3167141823291397,4.90651501467383,7.9148837209302325,6.6
Light_2,WT,NA,NA,NA,1,0.6694087338595125,10.37043551217474,14.180176211453745,10.7
Dark_2,WT,NA,NA,NA,1,0.3630267153073619,5.623985690455176,8.381696428571429,7
Light_3,WT,NA,NA,NA,1,0.7278198866515005,11.275337200159326,14.876605504587156,11.85
Dark_3,WT,NA,NA,NA,1,0.27299363135712923,4.229199151467394,8.135746606334841,7.5
